app_franchise,app_id,app_name,app_name_raw,app_type,appannie_url,device,device_supported,download_country_code,downloads,iap_enabled,month_id,price_avg,price_end,price_start,primary_category,primary_category_raw,publisher_id,publisher_name,publisher_name_raw,publisher_parent,rating_avg_all,rating_avg_cur,rating_count_all,rating_count_all_1,rating_count_all_2,rating_count_all_3,rating_count_all_4,rating_count_all_5,rating_count_cur,rating_count_cur_1,rating_count_cur_2,rating_count_cur_3,rating_count_cur_4,rating_count_cur_5,release_date_id,revenue_app,revenue_iap,store,week_id
Tinder,547702041,Tinder,Tinder,Free,http://www.appannie.com/app/ios/547702041/,iPhone,iPhone and iPod touch,US,84880,FALSE,162,0,0,0,Communication and Social,Social Networking,424613427,Tinder,Tinder Inc.,InterActiveCorp (IAC),3.5,4,10110,2074,763,1402,2299,3572,2493,276,127,345,719,1026,4598,0,0,iOS,706
Tinder,547702041,Tinder,Tinder,Free,http://www.appannie.com/app/ios/547702041/,iPhone,iPhone and iPod touch,US,105348,FALSE,162,0,0,0,Communication and Social,Social Networking,424613427,Tinder,Tinder Inc.,InterActiveCorp (IAC),3.5,3.5,10606,2188,804,1471,2423,3720,3023,397,172,417,849,1188,4598,0,0,iOS,707
Tinder,547702041,Tinder,Tinder,Free,http://www.appannie.com/app/ios/547702041/,iPhone,iPhone and iPod touch,US,91313,FALSE,162,0,0,0,Communication and Social,Social Networking,424613427,Tinder,Tinder Inc.,InterActiveCorp (IAC),3.5,3.5,10968,2224,835,1542,2530,3837,3414,435,205,489,965,1320,4598,0,0,iOS,708
Tinder,547702041,Tinder,Tinder,Free,http://www.appannie.com/app/ios/547702041/,iPhone,iPhone and iPod touch,US,98632,FALSE,162,0,0,0,Communication and Social,Social Networking,424613427,Tinder,Tinder Inc.,InterActiveCorp (IAC),3.5,3.5,11379,2295,870,1612,2638,3964,3831,509,241,562,1072,1447,4598,0,0,iOS,709
Tinder,547702041,Tinder,Tinder,Free,http://www.appannie.com/app/ios/547702041/,iPhone,iPhone and iPod touch,US,88236,FALSE,163,0,0,0,Communication and Social,Social Networking,424613427,Tinder,Tinder Inc.,InterActiveCorp (IAC),3.5,3.5,11724,2345,889,1674,2737,4079,4190,560,262,626,1175,1567,4598,0,0,iOS,710
Tinder,547702041,Tinder,Tinder,Free,http://www.appannie.com/app/ios/547702041/,iPhone,iPhone and iPod touch,US,82564,FALSE,163,0,0,0,Communication and Social,Social Networking,424613427,Tinder,Tinder Inc.,InterActiveCorp (IAC),3.5,3.5,12074,2405,919,1726,2839,4185,4557,624,296,679,1280,1678,4598,0,0,iOS,711
Tinder,547702041,Tinder,Tinder,Free,http://www.appannie.com/app/ios/547702041/,iPhone,iPhone and iPod touch,US,76569,FALSE,163,0,0,0,Communication and Social,Social Networking,424613427,Tinder,Tinder Inc.,InterActiveCorp (IAC),3.5,3.5,12395,2458,944,1779,2928,4286,4885,678,321,732,1372,1782,4598,0,0,iOS,712
Tinder,547702041,Tinder,Tinder,Free,http://www.appannie.com/app/ios/547702041/,iPhone,iPhone and iPod touch,US,69319,FALSE,163,0,0,0,Communication and Social,Social Networking,424613427,Tinder,Tinder Inc.,InterActiveCorp (IAC),3.5,3.5,12736,2512,968,1853,3005,4398,5229,732,346,807,1449,1895,4598,0,0,iOS,713
Tinder,547702041,Tinder,Tinder,Free,http://www.appannie.com/app/ios/547702041/,iPhone,iPhone and iPod touch,US,75048,FALSE,164,0,0,0,Communication and Social,Social Networking,424613427,Tinder,Tinder Inc.,InterActiveCorp (IAC),3.5,3.5,13081,2566,1005,1913,3091,4506,5593,786,383,872,1541,2011,4598,0,0,iOS,714
Tinder,547702041,Tinder,Tinder,Free,http://www.appannie.com/app/ios/547702041/,iPhone,iPhone and iPod touch,US,75147,FALSE,164,0,0,0,Lifestyle,Lifestyle,424613427,Tinder,Tinder Inc.,InterActiveCorp (IAC),3.5,3.5,13499,2638,1043,1987,3192,4639,6023,861,422,947,1642,2151,4598,0,0,iOS,715
